Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches
15,15,SR14 (AAA-4),vAtakShayaH,(a) vātakṣayaḥ,वातक्षयः,,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",
16,16,AAB,nAnAtmajavAtavikAraH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,,,
17,17,SQ00 (AAB-1),atipralApaH (kEvalavAta),(a) atipralāpaḥ (a) pralāpakaḥ,अतिप्रलापः (केवलवात),,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",
18,18,SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),(a) anavasthitacittatvam,अनवस्थितचित्तत्वम् (केवलवात),,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",
19,19,AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),(a) aṅgamardaḥ,अङ्गमर्दः (केवलवात),,,
20,20,AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),(a) aṅgaśuṣkatā,अङ्गशुष्कता (केवलवात),,,
21,21,SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),(a) aṅgavibhraṁśaḥ,अङ्गविभ्रंशः (केवलवात),,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",
22,22,AAB-6,arditaH (kEvalavAta),arditaḥ (kēvalavāta),अर्दितः (केवलवात),,,
23,23,SM1P (AAB-7),arasaj~jatA (kEvalavAta),(a) arasajñatā,अरसज्ञता (केवलवात),,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",
24,24,AAB-8,aSabdaSravaNam (kEvalavAta),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),,,
25,25,AAB-9,asvapnaH (kEvalavAta),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),,,
26,26,AAB-10,akShiBedaH (kEvalavAta),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),,,
27,27,AAB-11,akShivyudAsaH (kEvalavAta),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),,,
28,28,AAB-12,akShiSUlaH (kEvalavAta),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),,,
29,29,AAB-13,ATopaH (kEvalavAta),āṭōpaḥ (kēvalavāta),आटोपः (केवलवात),,,
30,30,AAB-14,AkShepakaH (kEvalavAta),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),,,
